ID,cartel,fine_case,y0,appear_d,appear_fas,appear_3,ecm_arg,mark_reg,length_pages,len_days,app_cass,MicroP,SmallP,MedP,LargeP,MSP,final_y,fine
А18-463/17,0,1,1,0,0,0,0,0,3,311,0,0,0,0,1,0,1,0
А32-1529/18,0,0,0,1,1,0,0,0,7,252,1,0,0,0,1,0,0,0
А33-1477/2018,0,0,0,1,1,1,0,1,15,198,1,1,0,0,0,1,0,0
А56-30124/2018,0,1,1,1,1,0,0,1,4,256,2,0,0,0,1,0,1,5421029.06
А53-3133/2018,0,1,0,1,1,0,0,2,6,119,1,0,0,0,1,0,0,650000.00
А70-18618/2017,1,1,0,1,1,0,0,2,10,301,1,0,1,0,0,1,0,10937360.00
А19-21949/2017,0,0,1,1,1,0,0,0,15,395,2,0,1,0,0,1,1,0
А52-450/2018,0,0,0,1,1,0,0,1,15,317,1,0,1,0,0,1,0,0
А82-26453/2017,0,1,1,1,1,0,0,0,5,209,1,0,0,0,1,0,1,650000.00
А82-19905/2017,0,1,1,1,1,0,0,0,12,166,0,0,0,0,1,0,1,650000.00
А70-891/2018,1,1,0,1,1,0,0,2,9,313,1,1,0,0,0,1,0,25949480.00
А82-14565/2017,0,1,1,1,1,0,0,0,4,261,0,0,0,0,1,0,1,7308881.30
А70-938/2018,1,1,0,1,1,0,0,2,9,305,1,1,0,0,0,1,0,17833280.00
А06-9347/2017,1,0,0,1,1,0,1,2,16,354,1,1,0,0,0,1,0,1110766.01
А40-3010/2018,0,0,0,1,1,0,0,0,12,116,0,0,0,0,1,0,0,0
А33-1881/2018,0,0,0,1,1,1,0,1,18,166,1,1,0,0,0,1,0,0
А59-451/2018,0,0,0,1,1,1,0,1,43,189,1,0,1,0,0,1,0,0
А33-31305/2017,1,0,0,1,1,0,0,1,13,350,1,1,0,0,0,1,0,0
А62-10897/2017,0,0,0,1,1,0,0,0,7,405,1,1,0,0,0,1,0,0
А40-25341/18,0,1,0,1,0,1,0,0,11,196,1,0,0,0,1,0,0,650000.00
А82-23304/2017,0,1,1,1,1,0,0,0,8,223,2,0,0,0,1,0,1,100000.00
А60-1415/2018,0,0,1,1,1,0,0,1,10,216,2,1,0,0,0,1,1,650000.00
А36-13831/2017,0,0,0,0,1,0,0,1,6,404,1,0,0,0,1,0,0,0
А06-2349/2017,1,1,1,1,1,0,0,1,6,411,0,1,0,0,0,1,1,650000.00
А65-3750/2017,1,0,1,1,1,0,1,2,12,633,2,0,0,1,0,1,1,0
А28-16093/2017,0,1,0,1,1,0,0,1,6,239,1,0,1,0,0,1,0,237500.00
А65-5000/2018,0,0,0,1,1,0,0,1,9,137,1,1,0,0,0,1,0,0
А05-3183/2018,0,1,1,1,1,0,0,0,6,133,1,1,0,0,0,1,1,907910.00
А04-11264/2017,1,0,0,1,1,0,1,1,30,314,1,1,0,0,0,1,0,0
А40-19896/18,0,0,0,1,1,1,0,0,15,374,1,0,0,0,1,0,0,0
А82-19023/2017,0,0,1,1,1,0,0,2,14,183,0,1,0,0,0,1,1,0
А33-13836/2017,0,1,0,0,1,0,0,1,23,321,0,1,0,0,0,1,0,100000.00
А79-15456/2017,0,0,0,1,1,0,0,2,8,308,1,0,0,0,1,0,0,0
А60-65438/2017,0,0,1,1,1,0,0,1,14,425,2,1,0,0,0,1,1,0
А32-51548/17,0,1,0,0,0,0,0,0,7,164,0,0,0,1,0,1,0,100000.00
А06-2158/2018,0,1,1,1,1,0,0,0,12,68,0,1,0,0,0,1,1,404618.75
А66-12110/2017,1,1,0,0,1,0,0,2,6,293,0,1,0,0,0,1,0,100000.00
А66-12233/2017,1,1,0,0,1,0,0,2,6,289,0,1,0,0,0,1,0,100000.00
А41-77752/17,1,1,0,1,1,0,0,2,7,484,1,0,0,0,1,0,0,3900671.25
А57-549/2018,0,0,0,1,1,1,0,1,7,328,1,1,0,0,0,1,0,0
А06-7923/2017,1,0,1,1,1,0,0,0,7,463,2,0,0,0,1,0,1,0
А60-71101/2017,0,1,0,1,1,0,0,0,6,341,1,0,1,0,0,1,1,12819382.01
А41-14527/18,1,1,1,0,0,0,0,1,6,155,2,0,1,0,0,1,1,100000.00
А05-2006/2018,1,0,0,1,1,0,0,1,6,364,1,1,0,0,0,1,0,0
